,index,text,date,url
0,0,"Toggle navigationInfo Nog steeds is het grootste deel van de wereldbevolking ervan overtuigd dat het officiële verhaal van 9/11 waar is. Een verhaal dat zo krankzinnig is dat je moeite zult  moeten doen om een vierjarige kleuter ervan te overtuigen dat dit de waarheid is. 

| Je hebt in ons land twee soorten demonstraties; bij de ene soort wordt er door de politie op los geramd en bij de andere krijgen demonstranten bescherming van het Openbaar Ministerie. De coronademonstraties vallen in de eerste categorie en die van Extinction Rebellion in de tweede.  

| We vergeten snel en dat is jammer want daarmee vergeten we ook welke krankzinnige dingen er werden uitgehaald tijdens de nep pandemie.  Ook wordt steeds meer duidelijk dat de ‘coronavaccins’ geen vaccins zijn en niets met gezondheid te maken hebben. 

|Het heeft er alle schijn van dat Sigrid Kaag druk bezig is om haar vertrek voor te bereiden.  Hugo de Jonge valt een colomniste aan en vraagt zich af waar al die haat vandaan komt. 

|Voordat zo goed als alle complottheorieën uitkwamen was er misscchien sprake van complotdenker.  Echter, aangezien zo goed als iedere complottheorie waarheid is geworden is het beter om te spreken van complotanalist in plaats van denker. 

| Sommigen zullen het toeval noemen dat het kabinet nu een asielwet erdoor wil duwen die verregaande gevolgen zal hebben.  Het grote publiek heeft (nog) niets door en als dat op termijn wel het geval is, dan is het te laat. 

| Enkele jaren geleden zijn we met behulp van lezers overgestapt naar een andere en betere website.  Dat is heel goed verlopen, maar nu moet er toch wel het één en ander gebeuren om diezelfde website in de lucht te houden. 

| De AIVD waarschuwt voor de toename van het aantal complotdenkers, dit omdat deze op termijn gevaarlijk zouden kunnen worden.  Tegelijkertijd komt het ook met een advies voor de overheid, maar zal die overheid dat advies daadwerkelijk opvolgen? 

| Stapje voor stapje, stukje bij beetje, wordt iedere vrijheid die je hebt om te reizen weggehaald. Het gaat zelfs zover dat werkgevers straks aan de overheid moeten melden hoeveel hun werknemers reizen om op het werk te komen. 

| Dat de oorlog in Oekraïne ontelbare levens eist is iets waar de oorlogshitsers geen boodschap aan hebben.  Net zomin als de kapitalen aan geld die letterlijk de lucht in geknald worden en waarvoor wij mogen betalen. 

|Achter de schermen wordt druk gewerkt om de censuur richting satanische sekte optimaal te maken. Het WEF gaat in een stroomversneling en als je luistert naar voorman Schwab, dan weet je dat erop of eronder wordt. 

|Velen zullen vandaag wederom naar een koude bewolkte lucht kijken, want de beloofde opwarming wil maar niet komen. Misschien omdat hij de bui voelt hangen vindt Gerrit Hiemstra dat het nu tijd is om ontslag te nemen als weerman.

|Hoewel het beruchte Kalergiplan al vele jaren tot volle tevredenheid van de satanische sekte draait, had het grootste deel van de bevolking daar geen moeite mee. Nu opeens vindt 90 procent van diezelfde bevolking dat er een maatschappelijke ontwrichting op komst is. 

| Het is werkelijk ziekmakend om te zien hoe D66 prominenten slijmen met één van de grootste schurken van deze tijd.  Schaamteloos poseren ze trots op de foto en maken hiermee duidelijk waarom dit land ten onder zal gaan als er niet snel dingen veranderen. 

| Alles gaat nu in een stroomversnelling, zowel de push richting New Wolrd Order als het aantal mensen dat wakker schrikt.  De komende jaren zullen dan ook heel spannend worden, want wie gaat deze race tegen de klok winnen? 

| Bij iedere volgende stap naar een 24/7 controlestaat doen de MSM hun uiterste best om alleen maar voordelen op te noemen.  Zo ook voor de vanaf volgend jaar verplichte zwarte doos in nieuwe auto’s. 

|Ministers liegen alsof het gedrukt staat en de bevolking wordt met de dag meer geschoffeerd. Nu ook de onzinnige pandemiewet is aangenomen zal de weerstand van de bevolking alleen maar groter worden. 

|Ondanks de vele waarschuwingen hebben de Britten toch gemeend munitie met verarmd uranium aan Oekraïne te moeten leveren.  Maar nu krijgen zij en ook de rest van Europa de rekening gepresenteerd, want een levensgevaarlijke wolk verspreidt zich nu over het continent. 

|
Pagina 1 van 853 

  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",28-5-2023,https://niburu.co/
1,5,"Toggle navigationInfo Nog steeds is het grootste deel van de wereldbevolking ervan overtuigd dat het officiële verhaal van 9/11 waar is. Een verhaal dat zo krankzinnig is dat je moeite zult  moeten doen om een vierjarige kleuter ervan te overtuigen dat dit de waarheid is. 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",28-5-2023,https://niburu.co/het-complot/18598-het-absurde-en-belachelijke-officiele-verhaal-van-9-11
2,6,"Toggle navigationInfo Je hebt in ons land twee soorten demonstraties; bij de ene soort wordt er door de politie op los geramd en bij de andere krijgen demonstranten bescherming van het Openbaar Ministerie. De coronademonstraties vallen in de eerste categorie en die van Extinction Rebellion in de tweede.  Dit is intern onderzoek waardig... 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",28-5-2023,https://niburu.co/het-complot/18597-politie-boos-en-gefrustreerd-na-protestactie-extinction-rebellion
3,7,"Toggle navigationInfo We vergeten snel en dat is jammer want daarmee vergeten we ook welke krankzinnige dingen er werden uitgehaald tijdens de nep pandemie.  Ook wordt steeds meer duidelijk dat de ‘coronavaccins’ geen vaccins zijn en niets met gezondheid te maken hebben. 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",28-5-2023,https://niburu.co/het-complot/18592-dit-is-hoe-krankzinnig-de-coronapandemie-was
4,8,"Toggle navigationInfoHet heeft er alle schijn van dat Sigrid Kaag druk bezig is om haar vertrek voor te bereiden.  Hugo de Jonge valt een colomniste aan en vraagt zich af waar al die haat vandaan komt. Politici die bedreigd worden, journalisten, wetenschappers, rechters…Je zou toch hopen dat iedereen de verantwoordelijkheid voelt om die eindeloze stroom aan haat te keren…Wat zóu het helpen als dit soort kwaadaardigheid geen podium zou krijgen… 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",27-5-2023,https://niburu.co/binnenland/18595-er-lijkt-iets-te-veranderen-in-ons-land
5,9,"Toggle navigationInfoVoordat zo goed als alle complottheorieën uitkwamen was er misscchien sprake van complotdenker.  Echter, aangezien zo goed als iedere complottheorie waarheid is geworden is het beter om te spreken van complotanalist in plaats van denker. If you always vote for the lesser of two evils, you'll always get evil. 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",27-5-2023,https://niburu.co/het-complot/18594-complotdenker-wordt-vanaf-nu-complotanalist
6,10,"Toggle navigationInfo Sommigen zullen het toeval noemen dat het kabinet nu een asielwet erdoor wil duwen die verregaande gevolgen zal hebben.  Het grote publiek heeft (nog) niets door en als dat op termijn wel het geval is, dan is het te laat. 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",27-5-2023,https://niburu.co/het-complot/18593-nieuwe-asielwet-net-voor-pinksterweekend-zeg-maar-dag-tegen-je-huis
7,11,"Toggle navigationInfo Enkele jaren geleden zijn we met behulp van lezers overgestapt naar een andere en betere website.  Dat is heel goed verlopen, maar nu moet er toch wel het één en ander gebeuren om diezelfde website in de lucht te houden. 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",27-5-2023,https://niburu.co/site-mededelingen/18580-de-website-piept-en-kraakt
8,12,"Toggle navigationInfo De AIVD waarschuwt voor de toename van het aantal complotdenkers, dit omdat deze op termijn gevaarlijk zouden kunnen worden.  Tegelijkertijd komt het ook met een advies voor de overheid, maar zal die overheid dat advies daadwerkelijk opvolgen? “So we penetrate the cabinets”.Here is Klaus Schwab in 2017 discussing how the WEF have penetrated governments with its young global leaders - like Justin Trudeau.






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",26-5-2023,https://niburu.co/het-complot/18591-gaat-overheid-het-advies-van-de-aivd-opvolgen
9,13,"Toggle navigationInfo Stapje voor stapje, stukje bij beetje, wordt iedere vrijheid die je hebt om te reizen weggehaald. Het gaat zelfs zover dat werkgevers straks aan de overheid moeten melden hoeveel hun werknemers reizen om op het werk te komen. 






  
Het absurde en belachelijke officiële verhaal van 9/11 
Politie boos en gefrustreerd na protestactie Extinction Rebellion 
Dit is hoe krankzinnig de coronapandemie was 
Er lijkt iets te veranderen in ons land 
Complotdenker wordt vanaf nu complotanalist 
Nieuwe asielwet net voor Pinksterweekend, zeg maar dag tegen je huis 
De website piept en kraakt 
Gaat overheid het advies van de AIVD opvolgen? 
Het mogen reizen is binnenkort een voorrecht 
Verspilling van geld of hoeveel een dag oorlog in Oekraïne kost 
Overleden kind verschijnt op foto 
Mysterie van neergeschoten vlucht MH17 in 1 dag opgelost 
Het raadsel van de uitgestelde koffie 
Over Ons 
MH17, het verhaal van de vreemde Cor Pan foto heeft een staartje 
Cannabis remedie tegen kanker, regering weet het al 36 jaar 
Wij beginnen nu aan fase 5 richting New World Order 
MH370 passagier stuurt boodschap vanaf Diego Garcia (breaking)      Naar bovenNaar bovenInfo",26-5-2023,https://niburu.co/het-complot/18590-het-mogen-reizen-is-binnenkort-een-voorrecht
