text,url
"Steun Indymedia NL financieel!
Servers en rechtszaken kosten veel geld, we kunnen elke (euro)cent gebruiken!Je kunt geld overmaken naar bankrekening 94.32.153 tnv Stichting Vrienden van Indymedia (IBAN: NL41 PSTB 0009 4321 53).De software die we voor de site gebruiken is . Een alternatief is Dank aan alle drupal-coders voor het creëren en delen van deze software!Contact:
 

Welkom aan onze medemens,
verzet tegen hen die ons willen verdelenDe campagne tour van FvD deed op 7 maart Drachten aan.  De FvD dat Nederland wil  “zuiveren” en onderwerpen aan politieke tribunalen. FvD wil “omvolking” voorkomen door mensen van kleur te deporteren. De FvD die een oorlog met een kwart miljoen doden als ""het meest hoopvolle"" van de afgelopen decennia ziet. Deze haatzaaiers kwamen net als in 2019 bijeen in de Lawei. P.I. Nieuwersluis, Zandpad 3, Nieuwersluis, Netherlands 

Vandaag stonden we, voor het vijfde jaar alweer, bij de vrouwenbajes in Nieuwersluis, Met behulp van vuurwerk, rookpotjes, vlaggen en lawaai . In het kader van Internationale Vrouwendag wilden we de vrouwen die hier binnen zitten laten weten dat we ze niet vergeten zijn. Op vrouwendag draait het éventjes om de rechten van vrouwen. Maar blijkbaar niet van alle vrouwen. Want de mensen die hier opgesloten zitten, voor wat voor reden dan ook, hebben niet diezelfde rechten. Dat vinden wij belachelijk en daarom stonden we er dit jaar weer. 

Afgelopen zaterdag hebben meer dan 20 mensen een demonstratie gehouden bij het Deportatiecentrum Rotterdam (DCR). Dit vanwege de ontsnappingspoging eerder die week en de daarop volgende repressie in de gevangenis.

Bericht vanmorgen, in alle vroegte: Joke Kaviaar is opgepakt. Agenten aan de deur. Herrie, meekomen, dat werk. Opruiing. Ze blijkt de enige niet te zijn. Inmiddels vang ik op dat een aantal anderen ook zijn gearresteerd. In een verklaring die Extinction Rebellion (XR) intussen heeft gepubliceerd, wordt een aantal van zes genoemd, plus een iemand bij wie de politie de gezochte persoon niet thuis aantrof. (1) of  

Afgelopen zaterdag zijn we opnieuw de straat op gegaan om een stem te zijn voor de ganzen en eenden in de foie gras industrie. En met resultaat!

Afgelopen zaterdag 14 januari was er een grote demonstratie bij Lützerath, waar vele journalisten bij aanwezig waren. De rechtse populistische omroep PowNed viel een groepje activisten lastig en werd door hen weggeduwd. Volgens PowNed werden ""alle journalisten die daar aanwezig waren bekogeld met stenen"", iets wat pertinent onwaar is.  of  

Today, January 16, we occupied the Amsterdamse Academische Club at the UvA to demand that the university cut ties with climate criminals and create spaces of autonomy. 

De oproep om massaal naar Lützerath te gaan, een uurtje rijden van Roermond. Of anders elders RWE – in Nederland het voormalige Essent – te bezetten.
(German version at bottom) Utrecht, Netherlands 

ACTIEVOERDERS BEZETTEN RESTAURANT (volg voor updates!)
ACTIVISTS OCCUPY RESTAURANT (follow for updates!) 

Gister is er een nieuw pand bekendgemaakt, er is een kleine manifestatie gehouden op het Spuiplein en zijn flyers uitgedeeld aan de bijstaanders.",https://www.indymedia.nl/

"Steun Indymedia NL financieel!
Servers en rechtszaken kosten veel geld, we kunnen elke (euro)cent gebruiken!Je kunt geld overmaken naar bankrekening 94.32.153 tnv Stichting Vrienden van Indymedia (IBAN: NL41 PSTB 0009 4321 53).De software die we voor de site gebruiken is . Een alternatief is Dank aan alle drupal-coders voor het creëren en delen van deze software!Contact:
Deel 3 van de serie over politie, activisten van de arrestantengroep (AG) zijn op bezoek om te vertellen over de soorten politie die je op demo's tegen kan komen, over je rechten en wat daarvan overblijft, hoe je elkaar enigszins kunt beschermen, en over hun werk bij de AG en hoe ze het draaien van AG toegankelijker en makkelijker proberen te makenOnderstroom is terug, en opnieuw gaat het over de politie. Petra en Kat van de arrestantengroep (AG) komen vertellen over hun activisme en hun ervaring met politie, je rechten als demonstrant en wat daar in de praktijk van overblijft. Het is een extra lange aflevering en ik voel me bevoorrecht dat deze ervaren activisten zoveel tijd voor deze podcast konden inruimen. Dus pak er een flinke pot thee bij, of trek je wandelschoenen vast aan, want het gaat hier wel even duren!Ze vertellen eerst over de AG zelf; wat is dat, hoe werkt een arrestantengroep en hoe proberen Petra en Kat deze manier van demonstraties en acties ondersteunen toegankelijker en laagdrempeliger maken?Daarna gaat de aflevering over de verschillende soorten politieagent, en dan vooral de types die je bij demonstraties en acties tegen kunt komen. We hebben het ook kort over BOA's en handhavers, daarna de reguliere politieagent en de variaties van ME, zoals de BRATRA en de arrestatieeenheden, ook wel bekend als ""stillen"", oftewel Romeo's.Later spreken we over je rechten tegenover politie, en hoe onzeker die eigenlijk zijn, hoezeer de politie eromheen werkt, hun eigen interpretatie naar voren schuift, of de eigen regels zonder problemen overtreedt. Wat zijn de dingen waar je enigszins vanuit kunt gaan, en waar kun je je een beetje op voorbereiden? Het gaat onder andere over anonimiteit, zwijgrecht (en het advies om uberhaupt nooit met de politie te praten).Uiteindelijk hebben we het over hoe we elkaar beter kunnen beschermen. Ook doen Petra en Kat een korte shoutout naar Buro Jansen, die wat aandacht verdienen voor hun goede werk om in de gaten te houden hoe de inlichtingendiensten met/tegen activisten bezig zijn.",https://www.indymedia.nl/node/53234

Steun Indymedia NL financieel!
Servers en rechtszaken kosten veel geld, we kunnen elke (euro)cent gebruiken!Je kunt geld overmaken naar bankrekening 94.32.153 tnv Stichting Vrienden van Indymedia (IBAN: NL41 PSTB 0009 4321 53).De software die we voor de site gebruiken is . Een alternatief is Dank aan alle drupal-coders voor het creëren en delen van deze software!Contact:
Lennard van Mil is gay, conservatief en tegen de vrijheid van menings uiting. Wel homo zijn maar alleen homo doen zoals acceptabel is volgens van Mill en hierbij weer een voorbeeld.als we kijken naar de zaak waarin Lennard van Mil en zijn organisatie De Roze Leeuw zich verzetten tegen een voorleesmiddag voor kinderen, is het belangrijk om de kwestie vanuit verschillende perspectieven te bekijken.Vanuit het perspectief van vrijheid van meningsuiting en expressie is het zeer verontrustend dat een politicus zich verzet tegen een dergelijke activiteit. Het voorlezen van verhalen door drag queens kan immers gezien worden als een uiting van kunst en cultuur, die beschermd zou moeten worden onder de vrijheid van expressie.Bovendien is het belangrijk om te beseffen dat het doel van de voorleesmiddag voor kinderen is om diversiteit en inclusiviteit te bevorderen, en kinderen te leren respectvol om te gaan met verschillen. Het verzet van Van Mil en De Roze Leeuw tegen deze activiteit kan gezien worden als een beperking van deze waarden en een terugkeer naar een intolerante samenleving.Daarnaast is het belangrijk om op te merken dat drag queens een belangrijke rol spelen in de LGBTQ+ gemeenschap en dat hun werk bijdraagt aan de zichtbaarheid en acceptatie van deze gemeenschap. Het verzet van Van Mil en De Roze Leeuw kan dus ook gezien worden als een aanval op deze gemeenschap en een gebrek aan respect voor hun rechten en vrijheden.In het kort kunnen we concluderen dat het verzet van Lennard van Mil en De Roze Leeuw tegen een voorleesmiddag voor kinderen door drag queens gezien kan worden als een beperking van de vrijheid van meningsuiting en expressie, en een gebrek aan respect voor diversiteit en inclusiviteit.Lennard van Mil is op dit moment nog een van de laatste alt-right politici die zich nog regelmatig in laat met extreem rechts. De far-right is een politieke stroming die streeft naar een sterke natie, een autoritair leiderschap en een gesloten samenleving. Deze ideologie staat bekend om haar conservatieve en nationalistische opvattingen en is gericht op het behoud van traditionele waarden en normen. Far-right bewegingen zijn vaak tegen immigratie en zien de multi-culturele samenleving als bedreigend voor de nationale identiteit en cultuur.De alt-right daarentegen is een meer recente variant van de far-right. Het verschil met de traditionele far-right is dat de alt-right zich meer richt op internet en sociale media en minder op georganiseerde politieke partijen en groeperingen. Alt-right bewegingen zijn gericht op het behoud van de witte identiteit en zien de multi-culturele samenleving als een bedreiging voor de witte suprematie.Hoewel er dus duidelijke verschillen zijn tussen alt-right en de far-right, kunnen deze twee stromingen elkaar ook overlappen en soms dezelfde doelen nastreven. Beide stromingen delen bijvoorbeeld een anti-immigratie en anti-linkse houding, en hebben vaak een autoritaire en nationalistische ideologie. Beide stromingen hebben ook regelmatig te maken met beschuldigingen van racisme, seksisme en homofobie.Het is belangrijk om op te merken dat zowel de far-right als alt-right bewegingen in strijd zijn met fundamentele democratische waarden en het bevorderen van verdeeldheid en intolerantie in de samenleving. Het is daarom van groot belang om alert te zijn op deze bewegingen en op te komen voor inclusiviteit, tolerantie en respect voor diversiteit.",https://www.indymedia.nl/node/53233
"Steun Indymedia NL financieel!
Servers en rechtszaken kosten veel geld, we kunnen elke (euro)cent gebruiken!Je kunt geld overmaken naar bankrekening 94.32.153 tnv Stichting Vrienden van Indymedia (IBAN: NL41 PSTB 0009 4321 53).De software die we voor de site gebruiken is . Een alternatief is Dank aan alle drupal-coders voor het creëren en delen van deze software!Contact:
Sinds enkele jaren blokkeren middelbare scholieren regelmatig hun scholen in het kader van sociale mobilisaties. Hoewel deze actiemethode vaak doeltreffend is gebleken om zbeul te verspreiden, is zij niet altijd gemakkelijk uit te voeren.Artikel gepubliceerd in 2018 tijdens de beweging tegen de ArbeidswetHet succes van een middelbare schoolblokkade hangt af van verschillende factoren:
    • Het aantal mensen dat gemotiveerd is om de blokkades vanaf zonsopgang te houden
    • De aanwezigheid of niet van agenten en hun houding
    • De houding van andere studenten die niet actief deelnemen aan de mobilisatie
    • De houding van de administratie
    • De houding van de leerkrachten en ander personeel
    • Mogelijk de houding van de ouders (maar die zie je zelden op de eerste dag van de blokkade).
Al deze factoren zijn niet altijd volledig controleerbaar, en hoewel er geen magisch recept bestaat en de lokale context een grote rol speelt, zou de toepassing van de hieronder ontwikkelde adviezen het toch mogelijk moeten maken om de balans in het voordeel van de blokkeerders te doen doorslaan!Hoewel sommige blokkades bij bijzondere gebeurtenissen (bijvoorbeeld een dreigende uitzetting van studenten zonder papieren) de dag ervoor ter plekke kunnen worden besloten voor de volgende dag, is het toch beter om, als de situatie het toelaat, een week of ten minste enkele dagen van tevoren actie te ondernemen om dit soort acties goed voor te bereiden. Allereerst moet je proberen op de hoogte te zijn van de belangrijkste mobilisatiedata, die meestal ruim van tevoren worden aangekondigd zodat iedereen zich lokaal kan organiseren.Dit is een bijeenkomst voor alle middelbare scholieren die willen mobiliseren. Het is een fundamentele stap: het is het moment om alle mensen te verzamelen die min of meer gemotiveerd zijn om een mobilisatie te starten en zich collectief te organiseren. Bovendien is het een historische praktijk van sociale bewegingen, volledig legaal en erkend door al jullie potentiële medestanders (vakbondsleerkrachten en ouders in het bijzonder).
Het is belangrijk om te weten dat een schoolhoofd een zaal ter beschikking moet stellen van studenten die willen vergaderen, dit is een recht dat de studentenstrijd sinds de jaren 1980 heeft verworven [1]. Het schoolhoofd kan echter eisen dat het verzoek ""officieel"" wordt ingediend door één of meer personen die hun naam op een papiertje ondertekenen. Als deze mensen met repressie worden bedreigd, is het belangrijk erop te wijzen dat zij alleen officieel verantwoordelijk zijn voor het organiseren van de bijeenkomst, niet voor wat daar wordt besloten.Zodra de toestemming is verkregen, is het tijd om zoveel mogelijk mensen op de hoogte te brengen van het tijdstip en de plaats van de AV: posters, folders, mond-tot-mondreclame... informatie reist snel in een school!De algemene vergadering maakt het niet alleen mogelijk om informatie te krijgen en de redenen voor de mobilisatie te bespreken, maar vooral om collectief te beslissen over de actiemiddelen. Het feit dat er formeel voor een blokkade is gestemd, kan bijvoorbeeld een uitstekend argument zijn om terug te sturen naar degenen die op zoek zijn naar leiders om druk op uit te oefenen (""het is zeker niet de een of andere die in zijn eentje heeft besloten dat we moeten blokkeren, maar wij allemaal samen op de AV""). Het is ook vaak een gelegenheid om nieuwe mensen te ontmoeten die betrokken willen raken bij de mobilisatie, maar die in het begin geen contact hadden met jouw kleine groep activisten!Aan het einde van de AV is het belangrijk om een korte tekst te schrijven waarin de redenen voor de mobilisatie en wat in de AV is besloten, worden samengevat. Deze tekst kan op alle mogelijke manieren worden verspreid. Als over de blokkade is gestemd, is het altijd beter om dit officieel aan te kondigen: de administratie is er dan sowieso van op de hoogte, en het maakt duidelijk dat het om een collectief besluit gaat dat in de AV is genomen. Het is ook een goede manier om andere personeelsleden van de school (leerkrachten, toezichthouders, enz.) te informeren en met hen te bespreken of zij jullie mobilisatie zullen steunen.In de paar dagen die ons nog resten voor de blokkade, is dit ook het moment om het materiaal aan te schaffen en voor te bereiden dat zeker folkloristisch is, maar ook zeer nuttig om je actie zichtbaar te maken en te versterken (spandoeken, folders, borden, enz.)De dag voor de blokkade kan het een goed idee zijn om een kleine organisatorische bespreking te houden. Dit is het moment om mensen te herinneren aan het tijdstip van de bijeenkomst in de ochtend, om elkaar te tellen, om zeker te weten wie welke uitrusting meebrengt, enz. Het kan ook nuttig zijn om op dit moment herinneringsberichten te sturen naar alle mensen die mogelijk gemotiveerd zijn om heel vroeg op te staan en te komen blokkeren!Op het moment van de vergadering is het goed om jezelf te tellen en een eerste punt een eindje van de school af te zetten om de technische zaken te regelen, deze zijn specifiek voor elke school (aantal te blokkeren ingangen, plaatsen waar vuilnisbakken en slagbomen komen...).
Wat er ook gebeurt, probeer altijd samen te blijven. Als de directeur en/of leden van de administratie naar buiten komen om u te verhinderen te blokkeren, probeer dan kalm te blijven en met hen te praten. Als ze agressief zijn, is het beter om menselijke kettingen te maken om ze rustig (maar stevig) naar de deuren te duwen dan om veel projectielen naar ze te gooien. De collectieve houding kan ook een rol spelen bij de beslissing van de politie, als die aanwezig is, om al dan niet in te grijpen en de blokkade te doorbreken. Als ze wel ingrijpen, is het, tenzij er veel mensen zijn, over het algemeen erg moeilijk om tegen hen in te gaan zonder een felle repressie te riskeren.Probeer in het algemeen bij geweld van het bestuur en/of politieoptreden te filmen als dat mogelijk is! Wees echter voorzichtig met het filmen van gezichten van kameraden die mogelijk te veroordelen acties ondernemen.Als op de officiële openingstijd van de school de blokkade nog steeds van kracht is, heb je het al behoorlijk goed gedaan, gefeliciteerd! Het is tijd om de honderden leerlingen die aankomen uit te leggen dat als het zo cool is om geen les te hebben, het nog beter is om 's ochtends te komen blokkeren, om daarna naar de demonstratie te gaan, kortom om actief deel te nemen aan de mobilisatie! Het is tijd om de folders die je hebt gedrukt massaal tevoorschijn te halen, om met zoveel mogelijk mensen te praten, om je leraren te ondervragen over de situatie! En vergeet vooral niet voor de sfeer te zorgen: liedjes, slogans, geluidseffecten... maar ook thee, koffie, ontbijt!Een aantal punten van kritiek komen echter vrij systematisch naar voren wanneer een school wordt geblokkeerd, zonder volledig te zijn volgen hier enkele voorbeelden met argumenten om ze te beantwoorden:    •  : Ja, een school blokkeren is inderdaad illegaal, maar aangezien middelbare scholieren geen effectieve legale actiemiddelen hebben zoals het stakingsrecht, zijn er niet echt andere oplossingen (we hebben zelden een regering zien zwichten bij simpele demonstraties op zaterdagmiddag).
En het mag dan illegaal zijn maar het is ook geen misdaad, niet naar school kunnen gaan heeft nog nooit iemand gedood, de wet naleven kan in sommige gevallen veel schadelijker zijn dan je school blokkeren (zoals passief blijven voor het migratiebeleid van de overheid bijvoorbeeld).
    •  : dat is de beste! Sinds wanneer worden beslissingen over alle leerlingen op een school democratisch genomen? Worden leerlingen gevraagd naar hun mening over de organisatie van roosters, de registratie van absenties en te laat komen, de prijs van maaltijden in de kantine...? ? Als je de geschiedenisleraren een plezier wilt doen, moet je gewoon uitleggen dat het zelfs overeenkomt met het ABC van burgerschap (in de historische zin van het woord, niet de Vde Republiek versie van vandaag), dat we geacht worden te leren op de middelbare school…
    •  : het is altijd fijn om een dag niet opgesloten te zitten in een klaslokaal, maar eerlijk gezegd kun je moeilijk zeggen dat blokkeren en deelnemen aan een sociale beweging een ontspannende ervaring is! Als de blokkeerders niet ""gewoon naar de les willen gaan"", zouden ze gewoon hun eigen gang gaan, zonder bij het ochtendgloren op te hoeven staan of zich bezig te houden met alle voorbereidingen van de mobilisatiedagen!Er zijn natuurlijk nog vele andere argumenten voor een blokkade vanwege wat deze manier van actievoeren als zodanig oplevert: doorbreking van de dagelijkse routine, vrijmaking van tijd, belangrijke zichtbaarheid in de media, efficiëntie in termen van macht enz. Het belangrijkste is om talrijk en vastberaden te blijven zodat mogelijke tegenstanders van de blokkade worden ontmoedigd om enige actie te ondernemen!Na dit alles, als rond 10-11 uur de blokkade nog steeds standhoudt, kunnen we zeggen dat het een echt succes is, het is dan aan u om te beslissen hoe u de rest van de dag organiseert, volgens uw wensen en de verdeling van de krachten (laat sommigen de blokkade houden terwijl de anderen naar de demonstratie gaan, laat het zo dat iedereen kan gaan, iedereen kan blijven om ervoor te zorgen dat de blokkade de hele dag goed blijft, zelfs als dat betekent dat u de demonstratie zult missen...). Aan de andere kant, als de blokkade op een gegeven moment niet doorgaat, is het alleen maar uitstel, geen reden om moedeloos te worden!Bij mislukkingEr zijn over het algemeen twee belangrijke redenen voor het mislukken van een blokkade:    • Jullie waren echt niet talrijk genoeg: in dit geval kunnen jullie alleen jezelf de schuld geven, jullie zullen moeten proberen meer mensen te overtuigen om de volgende keer te komen blokkeren!
    • Je bent zwaar onderdrukt: hoewel dit vaak een zeer moeilijke situatie is om mee te leven, met reële en soms ernstige gevolgen voor de mensen die deze onderdrukking ondergaan (verwondingen, gav, administratieve en/of gerechtelijke procedures), zijn er ook manieren om dit in je voordeel om te buigen.
 Wie de actoren van deze repressie ook zijn, het is absoluut noodzakelijk om te proberen hen het slechte pad op te sturen! De politie achter middelbare scholieren aan sturen is op zich al schandalig, net als jongeren bedreigen met disciplinaire maatregelen voor de enkele fout dat ze om hun toekomst geven. Dit is het moment waarop u uw bondgenoten het hardst nodig zult hebben: aarzel niet om hulp te vragen aan vakbondspersoneel of om contact op te nemen met de FCPE (een linkse, eerder reformistische oudervereniging maar die over het algemeen geen geweld tegen middelbare scholieren tolereert). Als er beelden zijn, moeten die zo ruim mogelijk worden verspreid (waarbij er altijd voor moet worden gezorgd dat ze de deelnemers aan de mobilisatie niet in gevaar brengen), de verantwoordelijken voor de repressie moeten boeten door hun publieke imago te beschadigen, dat is meestal het enige waar ze om geven, het is wat hen twee keer zal doen nadenken alvorens het opnieuw te doen!
 Als er een anti-repressie collectief is in jouw stad, neem er dan contact mee op, je zou daar kameraden moeten vinden die je verder kunnen helpen [2].Hoewel we hopen dat deze tips nuttig zijn, zijn het geen instructies. Zoals alle strijdpraktijken is het niet de bedoeling dat blokkeren in een vaste vorm wordt gegoten, anders verliest het zijn effectiviteit. Laat vooral je creativiteit niet achterwege en probeer je altijd aan te passen aan de lokale context van je school. Een goede blokkade gewenst voor jullie allemaal! (wanordelijkheden, straattaal voor een soort chaotische rel)
 Bron: ",https://www.indymedia.nl/node/53217

"Steun Indymedia NL financieel!
Servers en rechtszaken kosten veel geld, we kunnen elke (euro)cent gebruiken!Je kunt geld overmaken naar bankrekening 94.32.153 tnv Stichting Vrienden van Indymedia (IBAN: NL41 PSTB 0009 4321 53).De software die we voor de site gebruiken is . Een alternatief is Dank aan alle drupal-coders voor het creëren en delen van deze software!Contact:
Intimidatie op straat en in openbare gelegenheden is mogelijk omdat getuigen te laf zijn zich uit te spreken.Intimidatie agressie met doel uitsluiting en andere schade toebrengen . Nageroepen worden op straat verbaal aangevallen.Intimidatie agressie op straat en in openbare gelegenheden door roepen is niet alleen gericht tegen vrouwen. Die spreekwoordelijke open deur moet maar weer eens ingetrapt. Het lijkt er op dat er een vorm is die blijkbaar maatschappelijk is geaccepteerd namelijk pedo roepen iemand voor pedo uitmaken. Over het algemeen word dat mannen aangedaan. De “ roepers “ daders  kunnen mannen zijn maar ook vrouwen. Het verspreid zich als een soort virus denk ik. Als iemand verdacht is gemaakt door laster roddel dan is de schade nog erger en is degene die word aangeroepen in een isolement.
Het is een uiterst giftige manier van aanvallen waar bij degene die word aangevallen zich bijna genoodzaakt ziet zich te verontschuldigen te ontkennen wat de aanvallers nog meer voldoening en ook wel genot oplevert een gevoel van macht denk ik over de aangevallene. Gister avond 25 maart 2023 in De Vrankrijk Amsterdam waar ik man bij een concert was gebeurde het volgende : ik zat aan de bar met twee mensen man en vrouw naast me die ik niet kende met de rug naar de bar. Er werd geroepen achter me in het Engels “ hey pedo did you bring your buddies “ . De man en vrouw naast me hadden het conventionele uiterlijk van ouderen die kleding kopen bij C&A. Ik wist niet wie het riep en kon het daarom ook niet melden bij de vrijwilligers van de avond. Maar ik denk dat meerderen het moeten hebben gehoord. Toen ik die avond na met de trein naar huis te zijn gegaan in het dorp waar ik woon naar huis liep kwamen er twee jongens voor bij op fietsen een riep ” punkman is een pedo “  . Het was laat op de avond er was verder niemand. Helaas is dit vrij wel dagelijks wat ik mee moet maken altijd gluiperig op afstand en tegen mijn rug in de hoop een reactie uit te lokken en me schade te doen. Er kan worden gesteld wees blij dat het niet directer is en dat er ook nog een fysieke aanval volgt. Ook kan er worden gesteld dit is jou persoonlijke probleem en meer niet. Mijn idee daar bij is dat dergelijke aanvallen alleen kunnen gebeuren omdat iedereen wegkijkt die getuige is. Mijn oproep is dat als je mee maakt dat iemand man vrouw op dergelijke manier word aangevallen de dader aanspreekt op zijn of haar gedrag. Of zijn we terug in de tijd van de heksen vervolging. Ik ga de plekken waar ik verbaal word aangevallen niet om die reden mijden ik laat me niet wegpesten. Dat laatste advies heb ik ook aan jou als je ook op een dergelijke manier word aangevallen.",https://www.indymedia.nl/node/53202
